poll_id,token,institution,is_info_useful,is_info_missing,missing_info,improvements,date,missing_info_sentiment,improvements_sentiment,missing_info_en,improvements_en,missing_info_adj,improvements_adj,missing_info_noun_adj,improvements_noun_adj,missing_info_en_adj,improvements_en_adj,missing_info_en_noun_adj,improvements_en_noun_adj
10293,SAT137,SAT-07-007,1,Sí,"que porque no se puede generar la ellave desde el portal es un problema para este mes sacar una cita no te atienden sin cita
pero para el mes de abril es imposible sacar citas aunque llegues temprano sin cita no te pueden ayudar se cuenta con los archivos (req y key pero no puedo enviar mi declaracion sin la ellave",agilizar aumentar el numero de citas y no solo sea por internet aun asi si uno quiere hacer su declaracion te limitan por no tener la ellave la cual se pudiera generar mediante su programa del sat certifica es una perdida de tiempo y un numero muy limitado de citas incrementar para esas temporadas el numero de asesores ejecutivos etc para dar mas citas o procesar por internet y asi poder hacer tus declaraciones,2017-04-10,0.0,0,"because it can not generate the ellave from the portal it is a problem for this month make an appointment they do not attend without an appointment
but for the month of april it is impossible to make appointments but get there early ins can not help you it boasts files (req and key but i can not send my statement without ellave",speed increase the number of citations is not just online even so if you want to make your statement you are limited by not having the ellave which could be generated by the program certifies its sat is a waste of time and a very limited number of appointments for those seasons increase the number of advisers executives etc to give more online dating or process so we can make your statements,imposible temprano,solo perdida limitado,portal problema mes cita cita mes abril imposible citas temprano cita archivos .req .key declaracion,numero citas solo internet Aun declaracion programa perdida tiempo numero limitado citas temporadas numero asesores ejecutivos citas internet declaraciones,impossible early,online,e. llave portal problem month appointment appointment month April impossible appointments early ins help files .req .key statement e.llave,Speed increase number citations statement program certifies waste time number appointments seasons increase number advisers executives online dating process statements
10294,ISSSTE858,ISSSTE-06-004,1,Sí,el enlace para obtener la informacion de telefono y direccion donde se tiene que realizar el tramite,colocar el enlace para obtener la informacion de telefono y direccion donde se tiene que realizar el tramite,2017-04-10,0.0,0,the link for the information of address or telephone number where you have to perform the procedure,place the link for information telephone number and address where you have to perform the procedure,,,enlace información teléfono dirección tramite,enlace información teléfono dirección tramite,,,link information address telephone number procedure,Place link information telephone number address perform procedure
10295,SRE95,SRE-01-011-A,1,Sí,"porque no es posible sacar acta de nacimiento siendo del estado de veracruz
vivo en el estado de hidalgo y me es imposible sacar mi acta de nacimiento en esta ciudad mi pragunta es porque no se permite la cadena digital porque no tiene el sidea mis datos 
porque el registro civil no toma en cuenta esta consideracion
que hace el registro civil del mpio de zozocolco de hidalgo veracruz para poder sacar mi acta de nacimiento aqui en pachuca hgo",subir mis datos por el sidea a travez de la cadena digital para que pueda tramitar mi acta de nacimiento (emiliano hernandez sanchez libro  acta no  registrado el dic principalmente en pachuca hgo,2017-04-10,0.0,0,"because you can not get birth certificate being of the state of veracruz
i live in the state of hidalgo and i can not get my birth certificate in this city my pragunta is because the digital chain is not allowed because it has the sidea my data
because the civil registration does not take this into account
which makes the civil registration of the mpio hidalgo veracruz zozocolco to get my birth certificate here in pachuca hgo ",upload my data by sidea travez digital chain so you can process my birth certificate (emiliano hernandez sanchez book  act no  recorded on  dec  mainly in pachuca hgo,posible vivo imposible digital civil civil hidalgo veracruz,digital REGISTRADO,posible acta nacimiento veracruz vivo hidalgo imposible acta nacimiento ciudad pragunta cadena digital datos registro civil cuenta consideracion registro civil mpio zozocolco hidalgo veracruz acta nacimiento aqui pachuca hgo,datos cadena digital acta nacimiento LIBRO REGISTRADO,pragunta digital civil civil,digital,birth certificate state Veracruz state Hidalgo birth certificate city pragunta digital chain SIDEA data civil registration take account civil registration MPIO hidalgo Veracruz Zozocolco birth certificate Pachuca HGO,data SIDEA travez digital chain process birth certificate EMILIANO HERNANDEZ SANCHEZ Book ACT DEC Pachuca Hgo
10296,CNPSS179,CNPSS-00-001,0,No,,que el tramite se pueda hacer por internet sin necesidad de ir al modulo de atencion,2017-04-10,3.0,0,,that the process can be done online without having to go to module attention,,,,TRAMITE NECESIDAD MODULO,,,,process go MODULE ATTENTION
10297,SEDESOL63,SEDESOL-29-002,1,Sí,en el caso de las jefas de familia que tengan inscrito a sus hijas(os en una escuela de aguascalientes y vivan en jalisco el tramite se puede hacer en aguascalientes,especificar como proceder en el caso mencionado,2017-04-10,0.0,1,in the case of female heads of household who have enrolled their daughters (i in a school of aguascalientes and jalisco live in the procedure may do in aguascalientes,specify how to proceed in the case referred,jefas inscrito,mencionado,caso jefas familia inscrito hijas escuela,caso mencionado,female,,case female heads household daughters school Aguascalientes Jalisco procedure may Aguascalientes,proceed case
10298,ISSSTE1722,ISSSTE-07-001,1,Sí,"no aparecen los horarios para agendar una cita el dia de hoy en el horario de la tarde

le doy click y no me arroja nada",el manejo de la pagina para que mande a la opcion siguiente y asi concretar una cita,2017-04-10,0.0,0,"not shown to times schedule an appointment today in the afternoon hours

click and give me sheds no nothing",management page to refer the following choice and so make an appointment,,SIGUIENTE ASI,HORARIOS CITA DÍA HORARIO TARDE CLICK,MANEJO PAGINA OPCIÓN SIGUIENTE ASI CITA,,,TIMES schedule appointment TODAY AFTERNOON HOURS SHEDS NOTHING,MANAGEMENT PAGE choice appointment
10299,SEGOB171,SEGOB-05-005,1,Sí,no me da la ubicacion de mi modulo,la informacion a modificar respecto de los hijos,2017-04-10,0.0,1,it does not give me the location of my module,modify information concerning the children,módulo,,ubicación módulo,información respecto hijos,,,location module,information children
10300,IMSS166,IMSS-02-025-A,1,No,,me di de alta en la pagina del imss y al querer descargar mi reporte de semanas cotizadas no me fue posible ya que no recuerdo mi contrasea ni respuesta secreta quise solicitar el desbloqueo de mi cuenta pero me piden demasiada informacion y unicamente solicite desbloquearla creo que podrian agilizar el tramite si enviaran una nueva contrasea al correo que quedo registrado en mi tramite,2017-04-10,0.0,0,,i registered on the website of the imss and wanting download my report of weeks listed i was not possible because i do not remember my password or secret answer i wanted to unblock my account but i ask for too much information and only ask unlock it i think they could speed up the process if you send a new password to the email that was registered in my application,,alta cotizadas posible secreta nueva registrado,,alta página reporte semanas cotizadas posible recuerdo contraseña respuesta secreta desbloqueo cuenta información trámite nueva contraseña correo registrado tramite,,possible much new,,website IMSS download report weeks possible password secret answer account much information process new password email application
10301,IMSS180,IMSS-02-066-B,0,Sí,no se puede iniciar tramite,todo,2017-04-10,3.0,0,can not initiate proceedings,everything,,,TRAMITE,,,,PROCEEDINGS,EVERYTHING
10302,SRE113,SRE-03-003,1,Sí,poder realizar citas por internet,realizar citas por internet,2017-04-10,0.0,1,to make appointments online,you make internet dating,internet,internet,citas internet,citas internet,,,appointments,Internet dating
10303,SEGOB1517,SGOB-01-015-A,1,No,,evitar que el pvem compre ligisladores de los diversos partidos politicos para que aprueben leyes que prohiban las peleas de gallos (caso veracruz eliminando las tradiciones gustos y costumbres de los pueblos indigenas imponiendo la voluntad de extranjeros recuerden la penetracion cultural facilita la dominacion economica politica y social de los pueblos indigenas la esclavitud mental ya fue prohibida hace muchos aos no volvamos a caer en el error de permitirlo un perro no puede tener dueo juridicamente lo convierte en su esclavo y la esclavitud esta prohibida las leyes son para todos gracias por su atencion,2017-04-10,1.0,0,,buy ligisladores prevent pvem of the various political parties to pass laws banning cockfighting (case veracruz eliminating traditions tastes and customs of indigenous peoples imposing the will of foreigners remember the cultural penetration facilitates economic political and social domination of indigenous peoples mental slavery and was banned for many years not back to the mistake of permit a dog owner can not legally makes her slave and slavery is prohibited laws are for everyone thanks for your attention,,politicos gallos costumbres indigenas extranjeros cultural económica social indigenas mental prohibida esclavo prohibida,,ligisladores partidos politicos leyes peleas gallos caso tradiciones gustos costumbres pueblos indigenas voluntad extranjeros penetración cultural dominación económica política social pueblos indigenas esclavitud mental prohibida años error perro dueño esclavo esclavitud prohibida leyes Gracias atencion,,various political indigenous cultural economic political social indigenous mental many slave,,ligisladores PVEM various political parties laws cockfighting Case Veracruz traditions tastes customs indigenous peoples foreigners cultural penetration economic political social domination indigenous peoples mental slavery many years mistake permit dog owner slave slavery laws everyone Thanks attention
10304,SRE95,SRE-01-011-A,1,No,,"deberian de poder hacer este tramite en linea 
gracias",2017-04-10,3.0,1,,"this should be able to apply online
thank you",,,,tramite linea,,able,,able
10305,IMSS164,IMSS-02-008,0,Sí,como patron  tengo trabajadores con poca preparacion que dan un numero de seguridad que no es o de un familiar como obtengo el nss si no tienen ni curp ni rfc ,disear una ventana en la pagina web para con solo registrar su nombre nos de la respuesta de su numero de ss o que nos indique que no tiene para obtener su nss,2017-04-11,0.0,0,as an employer i have lowskilled workers which give a security number is not or a family member how do i get the nss if they have no curp or rfc ,designing a window on the website to register your name just us answer your social security number or tell us you do not have to get your nss,familiar,web,patron trabajadores preparacion numero seguridad familiar nss,ventana pagina web nombre respuesta numero ss nss,low skilled nss,,employer low skilled workers security number family member nss CURP RFC,window website register Social Security number nss
10306,ISSSTE623,FOVISSSTE-00-006,0,Sí,links,no se puede realizar el tramite es mentira,2017-04-11,1.0,0,links,you can not perform the procedure is a lie,,,links,trámite mentira,,,links,procedure lie
10307,IMSS210,IMSS-02-066-J,1,No,,no puedo registrarme solo manda un recuadro en blanco y en umf me dicen que no puedo registrar a mi hijo extranjero porque no aparece apellido materno y en automatico no es mi hijo me estan negando un derecho al igual que a mi hijo,2017-04-11,3.0,0,,i can not register just send a box blank and umf tell me i can not register my child because foreign name does not appear mother and my son is not automatic they are denying me the right to like my son,,Solo blanco extranjero materno automático igual,,Solo recuadro blanco hijo extranjero apellido materno automático hijo derecho igual hijo,,foreign automatic,,box blank UMF child foreign name mother son automatic son
10308,INPRF3625,INPRF-00-005,1,No,,que no fuera necesario estar titulado yo estoy estudiando psicologia y me interesa el curso pero evidentemente aun no tengo titulo,2017-04-11,3.0,0,,not entitled to be necessary i am studying psychology and me interested in the course i have not yet but obviously title,,NECESARIO TITULADO,,NECESARIO TITULADO PSICOLOGÍA CURSO TITULO,,ENTITLED NECESSARY INTERESTED,,ENTITLED NECESSARY PSYCHOLOGY INTERESTED COURSE title
10309,SRE113,SRE-03-003,1,Sí,me gustaria que me dieran la opcion de pagar el pasaporte en esta misma pagina para agilizar el tramite,hacer aun mas sencillos los tramites dando todas las opciones en la misma pagina,2017-04-11,0.0,1,i would like to give me the option of paying the passport on this page to expedite the process,make even easier the paperwork giving all options on the same page,,sencillos,opcion pasaporte página tramite,sencillos tramites opciones pagina,,easier,option passport page expedite process,easier paperwork options page
10310,ISSSTE556,ISSSTE-05-007-A,1,No,,se deberia poder hacer el tramite por internet,2017-04-11,3.0,1,,it should be able to make internet transaction,,,,trámite,,able,,able Internet transaction
10311,CAPUFE930,CAPUFE-01-004,0,No,,un telefono que funcional para recibir llamadas o un sistema automatizado para realizar citas,2017-04-11,3.0,0,,a telephone function to receive calls or an automated system for appointments,,funcional llamadas automatizado,,telefono funcional llamadas sistema automatizado citas,,automated,,telephone function calls automated system appointments
10312,SFP54,SFP-04-001,1,No,,el funcionamiento de la pagina web,2017-04-11,3.0,1,,operation of the website,,,,FUNCIONAMIENTO PÁGINA,,,,OPERATION WEBSITE
10313,AFSEDF842,AFSEDF-01-014,1,Sí,cuando son las inscripciones (fechas exactas para los chicos que ingresan al preescolar (playa del carmen,tal vez,2017-04-11,0.0,1,where are the inscriptions (exact dates for children entering preschool (carmen beach,maybe,exactas,,inscripciones fechas exactas chicos preescolar playa carmen,tal vez,exact,,inscriptions exact dates children preschool Carmen Beach,
10314,SRE113,SRE-03-003,1,Sí,deberian decir en cuanto tiempo nos dan el pasaporte y tener un horario disponible los dias sabados,tener horarios de atencion los dias sabados,2017-04-11,0.0,1,how long they should say give us your passport and have a schedule available on saturdays,have office hours on saturdays,disponible,,tiempo pasaporte horario disponible días,horarios días,available,,passport schedule available Saturdays,office hours Saturdays
10315,SEGOB173,SEGOB-05-003,0,Sí,es un desmadre no he podido consultar mi curp,era mas sencillo antes,2017-04-12,1.0,1,its a mess i could not check my curp,it was simpler before,,SENCILLO,DESMADRE CURP,SENCILLO,,simpler,MESS CURP,simpler
10316,COFEPRIS414,COFEPRIS-08-002,1,Sí,q pongan mas atencion alas nomalias de vicma distrubuidora de medicamento q tiene muchas anomaliastodo,todo xq no asen mada coruptos,2017-04-12,0.0,0,q wings nomalias pay more attention to distrubuidora q vicma drug has many anomaliastodo,grabbing all xq mada coruptos,nomalias distrubuidora,,atencion alas nomalias distrubuidora medicamento anomaliastodo,mada coruptos,vicma many,,Q wings attention distrubuidora q vicma drug many anomaliastodo,xq Mada coruptos
10317,SAT2298,SAT-08-004,1,Sí,es conveniente que incorporen los diferentes supuestos que pudieran hacer susceptible que este tramite tarde mas en solventarse,aunque tambien exista un plazo maximo si se va a seguir pregonando el plazo minimo por lo menos que informen en que casos el tiempo dura mas de los  dias habiles ,2017-04-12,0.0,0,is suitable incorporating different assumptions that you could do susceptible this process take longer to be solved,although there is also a maximum term if will continue touting the minimum term at least informed that case that time lasts more than  business days,CONVENIENTE SUSCEPTIBLE,MÁXIMO MÍNIMO HÁBILES,CONVENIENTE SUPUESTOS SUSCEPTIBLE TRAMITE SOLVENTARSE,PLAZO MÁXIMO PLAZO MÍNIMO CASOS TIEMPO DÍAS HÁBILES,SUITABLE different SUSCEPTIBLE,MAXIMUM minimum,SUITABLE different ASSUMPTIONS SUSCEPTIBLE process,MAXIMUM TERM minimum term CASE TIME business days
10318,ISSSTE851,ISSSTE-06-001-D,1,Sí,se tiene que agendar cita o puede ir uno cualquier dia laborable,poder realizar el tramite en cualquier oficina del issste,2017-04-12,1.0,1,you have to schedule an appointment or can go one working day,to perform the procedure at any office of the issste,laborable,issste,cita dia laborable,tramite oficina issste,,,schedule appointment working day,procedure office
10319,SEMAR1055,SEMAR-00-004,1,Sí,actualizar la informacion debido a que no especifica que para llevar a cabo el tramite es necesario requisitar uno de ocho formatos dependiendo del tipo de vertimiento que se desea efectuar,especificar que existen ocho formatos y es necesario acudir al establecimiento naval mas cercano para que se informen del procedimiento a seguir para efectuar el tramite de vertimiento,2017-04-12,0.0,0,update information because it does not specify that to carry out the process it is necessary requisitar an eight formats depending on the type of dumping that is desired,specify that there are eight formats and need to go to the nearest naval establishment to inform themselves of the procedure for carrying out the process of shedding,debido necesario,necesario cercano,información debido cabo trámite necesario formatos tipo vertimiento,formatos necesario establecimiento cercano procedimiento trámite vertimiento,necessary,nearest Naval,Update information carry process necessary requisitar formats type dumping,formats need nearest Naval establishment procedure carrying process shedding
10320,IMSS141,IMSS-03-011,1,Sí,agregar la opcion de sacar una cita para una consulta de manera virtual,"agregar la opcion de sacar una cita para una consulta de manera virtual e informar claramente los pasos a seguir si es posible hacer un tutorial para observar claramente lo que se debe hacer 
gracias",2017-04-12,1.0,0,add the option to make an appointment for a consultation virtually,"add the option to make an appointment for a consultation virtually and clearly inform the next steps if possible make a tutorial to clearly see what should be done
thank you",consulta virtual,consulta virtual posible tutorial,opción cita consulta manera virtual,opción cita consulta manera virtual pasos posible tutorial gracias,,next possible,option appointment consultation,option appointment consultation next steps possible tutorial
10321,SRE232,SRE-01-031,1,No,,para situaciones en las que se requiera viajar con periodo de tiempo corto para solicitud de visas deberia haber metodos de esperas menos largos,2017-04-12,3.0,0,,for situations that require travel with short time for visa application methods should have less long wait,,corto esperas largos,,situaciones periodo tiempo corto solicitud visas metodos esperas largos,,short,,situations travel short time visa application methods wait
10322,ISSSTE615,FOVISSSTE-00-004,0,Sí,"el tramite podria hacerse en internet
es muy pesado ir a las oficinas centrales u otras de fovissste",tramite pueda realizarse por internet,2017-04-12,0.0,1,"the procedure could be done on the internet
it is very heavy to go to headquarters or other of fovissste",tramite can be made online,pesado centrales,,tramite pesado oficinas centrales fovissste,Tramite,heavy,,procedure Internet heavy go headquarters fovissste,Tramite
10323,ISSSTE564,ISSSTE-05-007-H,1,Sí,consultarlo uno mismo tal como en la pagina del imss,no desplazar a las personas y hacer tramites engorrosos cuando nuca se ha pertenecido al issste,2017-04-12,1.0,0,consult oneself as on the website of the imss,not displace people and make cumbersome procedures when neck has belonged to the issste,,engorrosos pertenecido,página,personas trámites engorrosos nuca pertenecido,,cumbersome,website IMSS,people cumbersome procedures neck ISSSTE
10324,INM828,INM-03-010-G,1,Sí,hay algunos paises de las regiones asiaticas y europeas que no utilizan el acta de nacimiento utilizan lo que es el libro de familia en mi caso trabajo para una empresa japonesa y este es el documento que maneja anteriormente esta informacion era aceptada en el inm de juarez chih tramites realizados en el  con la anterior administracion pero ahora con la nueva administracion he encontrado un sinfin de trabas pues no me aceptan el libro de familia ni la apostilla del traductor de japon,concientizar al personal del inm sobre estos casos y sobre todo impartir cursos al personal para no ser tan cuadrado y utilizar el criterio,2017-04-12,0.0,0,there are some countries of the asian region and european not using the birth certificate use what is the family book in my case i work for a japanese company and this is the document that handles previously this information was accepted into the inm juarez chih procedures carried out in  with the previous administration but now with the new administration i found a multitude of obstacles because i do not accept the marriage certificate or apostille of the translator in japan,sensitize staff of the inm on these cases and especially teach courses to staff to not be so square and use the criteria,japonesa aceptada realizados anterior nueva encontrado traductor,personal personal cuadrado,paises regiones acta nacimiento libro familia caso trabajo empresa japonesa documento información aceptada tramites realizados 2014 anterior administración nueva administración encontrado sinfin trabas libro familia apostilla traductor,personal casos cursos personal cuadrado criterio,Asian European Japanese previous new multitude apostille,,countries Asian region European birth certificate family book case Japanese company document information INM Juarez Chih procedures previous administration new administration multitude obstacles marriage certificate apostille translator Japan,staff INM cases courses staff square use criteria
10325,ISSSTE569,ISSSTE-05-006-C,1,Sí,en estos requisitos que ustedes piden para afiliar a algun familiar como abuelos y padres no exigen una carta de dependencia y es contradictorio porque en el issste si estan pidiendo este requisito,no es necesario pedir una carta de dependencia de los padres porque nosotros como trabajadores tenemos el derecho de afiliar a una padre o abuelo sin la necesidad de mostrar una carta de dependencia la cual se tiene que pedir al ayuntamiento y te cobran hasta  por ella,2017-04-12,0.0,0,these requirements ask you to enroll a family like grandparents and parents require a letter of dependency and is contradictory because in the issste are asking if this requirement,no need to ask for a letter from dependence on parents because we as workers have the right to affiliate to a parent or grandparent without the need to show a letter of dependence which have to ask the council and they charge up to   for it,familiar contradictorio,necesario derecho abuelo,requisitos familiar abuelos padres carta dependencia contradictorio issste requisito,necesario carta dependencia padres trabajadores derecho padre abuelo necesidad carta dependencia ayuntamiento $,contradictory,right,requirements family grandparents parents letter dependency contradictory ISSSTE requirement,need letter dependence parents workers right affiliate parent grandparent need show letter dependence council charge
10326,SEGOB171,SEGOB-05-005,0,Sí,no da acceso a los estados de la republica solo al distrito federal la pagina es imcompleta no es util,tener los programas actualizados para poder hacer el llenado de algun documento ya que no da mas opciones para poder concluir,2017-04-12,0.0,0,does not give access to the states of the republic only the federal district the site is imcompleta is not useful,have updated to make filling any document programs it does not give more options to conclude,república solo federal imcompleta util,actualizados llenado,acceso república solo distrito federal pagina imcompleta util,programas actualizados llenado documento opciones,federal useful,,access states republic federal district site imcompleta useful,filling document programs options
10327,SRE113,SRE-03-003,1,No,,programacion de cita y el pago que se puedan realizar directamente en la pagina es muy engorroso tener que ir a diversos lugares para realizar un solo tramite ademas deberian tomar la foto en la delegacion que se realice el tramite estoy de acuerdo en llevar foto cuando es una oficina de enlace pero cuando se hace en la delegacion en persona,2017-04-12,3.0,0,,appointment scheduling and payment can be made directly on the page it is very cumbersome to have to go to different places for a single procedure also should take the picture in the delegation that the process is done agree to take photo when a liaison office but when done in the delegation in person,,engorroso solo,,Programacion pago pagina engorroso lugares solo tramite foto delegacion tramite acuerdo foto oficina enlace delegacion persona,,cumbersome different single,,Appointment scheduling payment page cumbersome go different places single procedure picture delegation process photo liaison office delegation person
10328,SCT1100,SCT-03-028-A,1,Sí,los costos por el plastico como tal por modalidad de licencia,explicando a donde acudir a realizar los examenes respectivos solicitados para los tipos de licencias,2017-04-12,1.0,0,cost by plastic as such by mode license,explaining where to turn to make the respective examinations requested for the types of licenses,plástico,respectivos solicitados,costos plástico modalidad,exámenes respectivos solicitados tipos licencias,plastic,respective,Cost plastic mode License,turn respective examinations types licenses
10329,ISSSTE856,ISSSTE-06-001-I,0,Sí,"bueno lo que creo que falta es concientizacion de los medicos y superiores ya que en mi caso soy una persona con prolemas de cistisercosis (calcificaciones cerebrales tengo aproximaximada mente  aos con este problema he llegado a convulsionar varias en mi trabajo ya sea dentro de las oficinas o fuera ya que andube mucho tiempo laborando en la calle y oficina por lo que tambien en ese tiempo tampbien me sucedio esto motivo por el que en alguna ocacion envie una carta al issste para exponiendo mi situacion y me otorgara la incapacidad total por preoblemas pero me fue negado asi como por los demas medicos del issste he de comentar que ahora estoy muy mal de mis piernas a lo que tampoco le han atinado de que es lo que tengo ya que sufro mucho adormecimiento desde hace aprox dos aos por lo que tambien me caigo muy seguido van don veces que me sucede esto en viavucto a consecuencia de esto 
aclaro a lo anterior que no puedo irme o jubilarme ya que le debo mucho al fovissste de mi casa que tambien me dieron cuando quisieron debido a un error que habia con respecto a mi rfc (hace aprox cinco aos ya que durante todos los aos que meti mi solicitud me daban a entender que yo ya tenia ese credito cosa que no fue verdad ya que que segun mensaje reenviado me dijeron que efectivamente habia un error con mi rfc ya que tetian un expediente de una persona que laboraba para la sep que tenia mis siglas solo que ella se llamaba gloria quen por cierto era a la que hacia mucho que le han otorgado este credito
bueno como podran ver yo no puedo fejar mi trabajo ya que debo mi casa de hace aprox cinco aos y me quedaria muy poco para vivir a menos que se me otorgue la otorgue la incapacidad total por preoblemas de salud

 
 he de aclarar que no de salud lo sigo teniendo en lo que es posible asiste mi esposo por mi",la concientizacion por parte de los medicos superiores y demas en el issste ya que en mi caso he estado muchas veces internada a concecuencia de mi situacion y siempre me han dicho que no pasa nada que mis convulciones son por nervios o por falta de medicamento no tomando en cuenta que al menos para mi siempre fue demasiado rudo ya que hubo mucho tiempo que andube notificandoi demasiado trabajo hasta que incluso del issste me han enviado toda moprdida a laborar etc,2017-04-12,1.0,0,"well what i think is missing and awareness of physicians higher as in my case am a person with addiction problems of cistisercosis (calcifications cerebral aproximaximada mind i have this problem with   i have come to convulse several in mi work whether in the office or out as andube long laborando on the street and office so also at that time tampbien me happened reason that in any occasion send a letter to the issste for exposing situation and me my disability total granted by me but was denied preoblemas and by other medical issste he comment that i am now my bad legs to what you have neither that is wise i have as much numbness the last suffer approx two years so also i fall very often times i don van happen in viavucto a result of this
clarify a previous what can not irme or retire because it will owe much to fovissste my house also gave me when you want due to a mistake that had about my rfc (to approx five years because during all the years meti my application me implied that i already had that credit which was not true as reported by forwarded message i was told that indeed there was a mistake with my rfc as tetian a record of a person who worked for the sep i had my only she was called acronyms gloria quen by the way that was to much you have to this credit granted
good will see me as i can not my job because fejar my house should i do approx five years and i would be very little to live me unless granted the granted by total disability health preoblemas

 
 he of health clarify that i kept it in may attend what my husband for me",awareness by physicians superiors and issste because in my case i have been many times hospitalized a therefore my situation and i always said that nothing happens to my seizures are for nerve or drug failure not taking into account that the least for me was always too rude was as much time to andube notificandoi too much work that even have sent me the whole issste moprdida to work etc  ,LABORANDO TOTAL MAL SEGUIDO ANTERIOR DEBIDO REENVIADO SOLO CIERTO TOTAL POSIBLE,SUPERIORES DEMAS INTERNADA RUDO,CONCIENTIZACION MEDICOS SUPERIORES CASO PERSONA CISTISERCOSIS CALCIFICACIONES CEREBRALES APROXIMAXIMADA MENTE AÑOS PROBLEMA TRABAJO OFICINAS FUERA TIEMPO LABORANDO CALLE TIEMPO MOTIVO OCACION CARTA SITUACION INCAPACIDAD TOTAL DEMAS MEDICOS MAL PIERNAS ADORMECIMIENTO APROX AÑOS SEGUIDO VECES ESTO VIAVUCTO CONSECUENCIA ESTO ANTERIOR CASA DEBIDO ERROR RESPECTO APROX AÑOS AÑOS SOLICITUD CREDITO COSA VERDAD MENSAJE REENVIADO ERROR EXPEDIENTE PERSONA SIGLAS SOLO GLORIA CIERTO CREDITO TRABAJO CASA APROX AÑOS INCAPACIDAD TOTAL PREOBLEMAS SALUD SALUD POSIBLE ESPOSO,CONCIENTIZACION PARTE MEDICOS SUPERIORES DEMAS CASO VECES INTERNADA CONCECUENCIA SITUACION CONVULCIONES NERVIOS FALTA MEDICAMENTO CUENTA RUDO TIEMPO NOTIFICANDOI TRABAJO MOPRDIDA LABORAR,higher CEREBRAL SEVERAL BAD wise MUCH LAST PREVIOUS much TRUE MUCH GOOD LITTLE TOTAL,many RUDE MUCH MUCH WHOLE,AWARENESS PHYSICIANS higher case person addiction problems CALCIFICATIONS CEREBRAL APROXIMAXIMADA MIND PROBLEM SEVERAL MI WORK OFFICE ANDUBE LABORANDO STREET OFFICE TIME REASON OCCASION LETTER ISSSTE SITUATION DISABILITY TOTAL PREOBLEMAS OTHER MEDICAL ISSSTE BAD LEGS wise MUCH NUMBNESS LAST SUFFER APPROX YEARS times DON VAN VIAVUCTO result PREVIOUS much FOVISSSTE HOUSE MISTAKE RFC approx years YEARS METI APPLICATION TRUE message mistake RFC Tetian RECORD PERSON SEP ACRONYMS GLORIA QUEN WAY MUCH CREDIT GOOD JOB HOUSE APPROX YEARS LITTLE TOTAL DISABILITY HEALTH PREOBLEMAS HEALTH HUSBAND,AWARENESS PHYSICIANS Superiors ISSSTE case many times situation NOTHING seizures NERVE DRUG FAILURE ACCOU RUDE MUCH TIME NOTIFICANDOI MUCH WORK WHOLE ISSSTE MOPRDIDA work
10330,IMSS543,IMSS-03-005-A,1,No,,nada porque en la pagina te esplica todo,2017-04-12,3.0,0,,nothing because on page esplica you all,,,,pagina,,,,nothing page
10331,CFE194,CFE-00-020,0,Sí,que los especialistas de energia solar no saben nada solo pedi informes sobre poner medidor afuera de un domicilio y no pudo resolver el problema solo complico el tramite ya que el asesor solo recibe papeles no tiene capacidad de decir si o no muy lento el proceso ya que los tramites los tuvo que hacer la compaia que instalo los paneles ya que ellos recibieron la carta de como deberia ser el medidor y ya voy a un mes y no lo instalan gracias,hacer tramites mas rapidos y eficientes para el consumidor q finalmente es un ciudadano preocupado por la contaminacion gracias,2017-04-12,0.0,0,specialists solar do not know anything just asked for reports put out meter of a home and could not solve the only problem complicated the process as the only advisor receives papers has no ability to say yes or no very slow process since the proceedings had to make the company that installed the panels since they received the letter of what should be the meter and already a month and will not install thanks,make faster and efficient procedures for consumer finally q is a citizen concerned about pollution thanks,solar afuera solo asesor solo lento,rápidos eficientes preocupado,especialistas energía solar informes medidor afuera domicilio problema solo trámite asesor solo papeles capacidad lento proceso trámites compañía paneles carta medidor mes gracias,tramites rápidos eficientes consumidor ciudadano preocupado contaminación gracias,complicated slow,faster efficient q concerned,Specialists anything reports meter home problem complicated process advisor papers ability slow process proceedings company panels letter meter month install thanks,faster efficient procedures consumer q citizen concerned pollution thanks
